"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2862","Edit course","LMS system","Thu Mar 12 05:32:58 UTC 2026","passed","Thu Mar 12 05:33:01 UTC 2026","Courses","Courses","",""
"","1993","User login with wrong email or password","LMS system","Thu Mar 12 05:32:48 UTC 2026","passed","Thu Mar 12 05:32:50 UTC 2026","Authorization","Authentication","",""
"","1760","User login with wrong email or password","LMS system","Thu Mar 12 05:32:51 UTC 2026","passed","Thu Mar 12 05:32:52 UTC 2026","Authorization","Authentication","",""
"","2289","Create course","LMS system","Thu Mar 12 05:32:58 UTC 2026","passed","Thu Mar 12 05:33:00 UTC 2026","Courses","Courses","",""
"","1659","Check displaying of empty courses list","LMS system","Thu Mar 12 05:32:56 UTC 2026","passed","Thu Mar 12 05:32:58 UTC 2026","Courses","Courses","",""
"","1699","User login with wrong email or password","LMS system","Thu Mar 12 05:32:52 UTC 2026","passed","Thu Mar 12 05:32:54 UTC 2026","Authorization","Authentication","",""
"","3396","User login with correct email and password","LMS system","Thu Mar 12 05:32:48 UTC 2026","passed","Thu Mar 12 05:32:52 UTC 2026","Authorization","Authentication","",""
"","1523","Navigation from login page to registration page","LMS system","Thu Mar 12 05:32:53 UTC 2026","passed","Thu Mar 12 05:32:54 UTC 2026","Authorization","Authentication","",""
"","1764","Registration with correct email, username and password","LMS system","Thu Mar 12 05:32:54 UTC 2026","passed","Thu Mar 12 05:32:56 UTC 2026","Registration","Authentication","",""
"","1831","Check displaying of dashboard page","LMS system","Thu Mar 12 05:33:00 UTC 2026","passed","Thu Mar 12 05:33:02 UTC 2026","Dashboard","Dashboard","",""
